local_datetime,segment_id,direction,volume
6/29/2025,Washington and Eisenhower Drive,sb,32
6/30/2025,Washington and Eisenhower Drive,sb,17
6/1/2025,Washington and Eisenhower Drive,nb,
6/2/2025,Washington and Eisenhower Drive,nb,
6/3/2025,Washington and Eisenhower Drive,nb,
6/4/2025,Washington and Eisenhower Drive,nb,
6/5/2025,Washington and Eisenhower Drive,nb,
6/6/2025,Washington and Eisenhower Drive,nb,
6/7/2025,Washington and Eisenhower Drive,nb,
6/8/2025,Washington and Eisenhower Drive,nb,
6/9/2025,Washington and Eisenhower Drive,nb,
6/10/2025,Washington and Eisenhower Drive,nb,
6/11/2025,Washington and Eisenhower Drive,nb,
